id,arq.Municipio,arq.Nombre
802d1c07-dc0e-4170-983b-a1a989c0249d,Calkiní,Nuestra Señora de la Natividad
5831791f-04ce-4a79-9cc3-c3045177baa5,Calkiní,San Luis Obispo de Tolosa
cee7d68f-29c7-49fc-940e-53f4a3be91dd,Calkiní,La Asunción
cc9c67b7-9114-4c72-bea6-304641e81321,Calkiní,San Bartolomé
4e3b2be8-453b-4f5c-aeb8-fb8734d97df1,Hecelchakán,San Francisco de Asís
ada16b6a-7c0c-47f7-bd8e-ff13de934442,Hecelchakán,Los Santos Reyes
456e026b-074c-48cc-a378-cdf2a4f2479e,Hecelchakán,La Purísima Concepción
b23edf6a-c068-4fa6-83b9-53530d950105,Tenabo,La Asunción
54c5e7af-252b-43c2-8ebc-da9765fba05f,Campeche,San Francisco de Asís
857290a1-53bd-4d4b-875f-db81288e16cd,Jose María Morelos,La Asunción de Nuestra Señora
e8d27503-3bd1-4ee7-8bc1-a6107c2bef84,Jose María Morelos,San Pedro Apóstol
72bf62fb-562c-4610-afe0-7864cee1c2e8,Felipe Carrillo Puerto,Santo Niño Jesús
44e45f2d-fba5-4df9-87e3-8a57589fb0a6,Jose María Morelos,San Francisco de Asís
4cac33d2-e134-477d-9572-b7f41f162127,Acanceh,Nuestra Señora de la Natividad
fdf17c32-4ddd-41d9-ba91-a541abdccd9a,Calotmul,Parroquia (ex convento) de La Concepción
72629b92-012a-45bd-ab5f-17fbdaf5546c,Cansahcab,Parroquia (ex convento) de San Francisco
4ee65cf7-2706-4d3f-9e05-b09a095772e2, Chikindzonot,Nuestra Señora de la Candelaria
4d47fd50-0a9c-429f-8686-ea18845d8a5e,Chikindzonot,San Bernardino de Siena (ex convento)
439a9256-61cf-4460-bb6b-c532304b4ece,Chocholá,Parroquia (ex convento) de la Purísima Concepción
94ec365a-331d-46b1-9856-3e7e0108758c,Chumayel,La Purísima Concepción
7990f734-266f-410f-a565-233ea56a21d0,Conkal,Parroquia (ex convento) de San Francisco de Asís
eda01a7c-1be8-4707-b8f9-b8eb5a3f0f1c,Dzidzantún,Parroquia (ex convento) de Santa Clara
4211319f-ef1d-42b9-91d5-4bb9b43e19e3,Halachó,Parroquia (ex convento) Santiago Apostol
af2c3810-e66d-4031-959b-d0885960d838,Hocabá,Parroquia (ex convento) de San Francisco de Asís
a726863c-a610-4088-9baa-9a14885e8a31,Homún,Parroquia (ex convento) San Buenaventura
7e5f055d-d61e-47b9-afb0-c46f083a0af3,Hunucmá,San Francisco de Asís
c1dfecb5-38ce-40c3-8629-6f7536fe5297,Izamal,Nuestra Señora de la Candelaria
df5425c7-b03e-4564-ba6d-e4873fa38041,Izamal,Ex convento de San Antonio de Padua
372e20dd-aede-4329-a1d7-db2defeacc99,Izamal,Los Remedios
9593b66d-792e-4473-82d8-794a31ba7094,Izamal,San Nicolás Obispo
db7a9b1a-72b6-4b54-8133-79316fa052b9,Kanasin,La Inmaculada Concepción
1f52fd92-70eb-4a21-bbe7-159dad43cc8c,Kantunil,La Candelaria
dd3f1ed0-0210-41c0-bcf3-5d52254f81d8,Kopomá,Iglesia de la Virgen de la Asunción
c2702b90-5503-49ad-9a03-6d148d81cffc,Mama,Nuestra Señora de la Asunción
b56c4426-0b5f-42c0-995e-97578b248a75,Maní,Parroquia (ex convento) de San Miguel Arcángel
dba0b9f9-510d-4068-88f6-bcd2e655e31e,Mérida,Nuestra Señora de Belén
06662da9-538b-4b5d-a47c-cb837460e2e4,Mérida,San Pedro
1ef700eb-8f35-47fd-845f-3ce64b2ffb6d,Mérida,Nuestra Señora de la Concepción
063d8742-acd7-4819-840c-1d8c05e5ea82,Mérida,La Purísima Concepción
af595b5e-0fe2-4eca-8b5f-c88acc9a8fad,Mérida,Catedral de San Ildefonso
2838874d-0c46-43e0-9b36-494988386646,Mérida,Cristo de las Ampollas
a3e9131f-def3-4976-b5bb-f80ef7ba18f5,Mérida,Divino Maestro
14607eb3-694c-48ea-8887-2cb62667eafa,Mérida,Sagrario Metropolitano
8e905701-bf8d-471c-acb0-3761ffb7d635,Mérida,San Juan de Dios
da0ef7ab-4c48-42be-89aa-f0043875f765,Mérida,Iglesia del Jesús (Tercera orden)
bcbd54ae-e39c-4ce9-bf05-580b69b69976,Mérida,Nuestra Señora del Transito de la Mejorada
0219ebcc-bc31-446b-ae7b-bb8c2c0c5fc3,Mérida,Santa Ana
848c5b86-4028-43e4-9c22-299f7d36efda,Mérida,Santa Lucía
0a493556-6012-45e9-b2b8-4f395396c59a,Mérida,Las Monjas (Templo de Nuestra Señora de la Consolación)
117f465f-27c2-4ee3-b305-ebc0bdf9a5ea,Mérida,La Candelaria
f7933782-9f8c-4c64-9a05-a194314d1f3d,Mérida,Santiago
9416c7ce-e928-4d41-ac88-16923e156859,Mérida,San Juan Bautista
e999f0fe-0fee-4f69-a4bb-01eb4453df62,Mérida,Santa Isabel
108381a0-332e-462b-bc42-f1d36c671422,Mérida,San Cristóbal
9dc22f89-91b7-46a3-9b2a-8473d07a612c,Mérida,San Sebastían
f7f84c65-1ee9-4d3f-b660-5187418ff135,Mérida,San José de la Montaña
7480f4cd-f2f4-475d-a92f-161d4fb9ade2,Mérida,Nuestra Señora de Lourdes
01870c2f-0276-4b53-82b7-478c0646d01d,Mérida,Nuestra Señora del Perpeturo Socorro
da938a9b-24c8-4762-a164-a0a9c123df26,Mérida,Nuestra Señora de la Asunción
6e3c0ff6-e2b0-4311-9a45-5fc1053bb16a,Mérida,San Rafael Arcángel
ab8e97e2-8293-47b2-970d-53a9c1caf7b0,Mérida,Nuestra Señora de Fátima
81ba38b3-5245-4d80-bf81-63e3705cd7ba,Mérida,Iglesia de la Sagrada Familia
55d944c7-5b2f-4b63-b6d3-ea79352106ab,Mérida,San Judas Tadeo
b5db4ca9-6ab5-4c57-982a-59da538ffab7,Motul,San Juan Bautista
b7d4acd4-e4f0-4a58-a717-dc260a3efcb0,Motul,San Antonio
1f9d4e10-10b9-4826-a3f4-ffa2bfcc3b27,Muxupip,Santiago Apóstol
cb03eb71-b1d5-431d-a3a3-b4407d945381,Oxcutzcab,Parroquia (ex convento) de San Francisco de Asís
e9b3687a-f62e-430a-860d-3ce2a700f9f3,Oxcutzcab,Virgen del Pilar
88cf7571-f385-41aa-b6e8-5723eece9a6a,Peto,San Luis Obispo
0ded5094-36bc-4aee-ba5e-27fd4f943361,Seyé,San Bartolomé
7ab4afc4-3a7c-42f0-a25a-245d3888306b,Sinanché,San Buenaventura
1182956d-7556-4784-88dc-4a83fba8ffd5,Sotuta,La Concepción
639ef8f5-5837-44fd-9f88-1bda4969409f,Suma,San Bartolomé Apóstol
7143753d-1ba7-4152-98d4-3a3992c903f2,Teabo,San Pedro y San Pablo
f12f0209-acb6-4acc-8c1f-b5a9c497ac8c,Tecoh,La Asunción
3e109b12-57f9-45c9-b213-a48748e57104,Tecoh,La Purísima Concepción
8505cb48-2095-460d-982c-1bf20f0a96df,Telchac,Parroquia (ex convento) de San Francisco de Asís
