id,arq.Municipio,arq.Nombre
4b9285df-93f5-4b58-a353-ef00668375bf,Calkiní,Nuestra Señora de la Natividad
55376fab-350e-4970-bcd3-cbce959a6c99,Calkiní,San Luis Obispo de Tolosa
444787f6-0252-47b8-9a6e-a2a8e7cc7244,Calkiní,La Asunción
b8d6b898-bdba-41a5-895c-c67b9fdd45e0,Calkiní,San Bartolomé
579fcb08-535c-4253-b594-5a596d780202,Hecelchakán,San Francisco de Asís
1daa2581-17bf-48a4-9893-a0ed2dd0f871,Hecelchakán,Los Santos Reyes
e749d7db-cc1a-47f9-9b01-072ead3e2c41,Hecelchakán,La Purísima Concepción
9e8c3a9f-c077-467b-92e7-4e868faf60d7,Tenabo,La Asunción
2446ce63-8df0-49a9-ad74-dc4a4cc6de40,Campeche,San Francisco de Asís
9f8d6fa0-a102-46ff-a7f9-36334df4b0dd,Felipe Carrillo Puerto,Santo Niño Jesús
8ba3350e-d434-4d08-9b14-2cdca3a64573,Jose María Morelos,San Francisco de Asís
45c2ef22-7037-40aa-b6bb-f5dc7ff331e9,Jose María Morelos,La Asunción de Nuestra Señora
b3ce3f2b-3e89-4dc1-9eb9-2db771c7670e,Jose María Morelos,San Pedro Apóstol
d817a902-c20f-4c29-9cf7-299eaf4ec131,Izamal,Nuestra Señora de la Candelaria
b87adf8b-f790-401c-9442-c86929a064ae,Izamal,Los Remedios
a81d2245-f4f9-49fa-84bc-143c74a9747e,Cansahcab,Parroquia (ex convento) de San Francisco
f869e69b-b572-4ba4-8eab-3a440fadf7ea,Chocholá,Parroquia (ex convento) de la Purísima Concepción
d740d88b-0290-4c48-8643-7e33e632311a,Mérida,Divino Maestro
442073a4-b0af-467c-b52a-267b6d34d8df,Kanasin,La Inmaculada Concepción
d5128ab8-765a-4d94-be93-7108a007f85a,Dzidzantún,Parroquia (ex convento) de Santa Clara
0a362c3e-e56e-4ee4-ad44-8cdb414d2c9f,Acanceh,Nuestra Señora de la Natividad
df62dc94-b917-41d6-9720-a26c74620eb5, Chikindzonot,Nuestra Señora de la Candelaria
df626cd4-025d-421c-a4fd-014d350d40ad,Homún,Parroquia (ex convento) San Buenaventura
873f0f1a-f0b6-4ddc-994a-5419af82a5bb,Kopomá,Iglesia de la Virgen de la Asunción
d3d9ac20-f0a6-462e-a9c1-bf207afe053d,Chumayel,La Purísima Concepción
5c77d4de-ea70-4a89-9bd3-7be776d8efa2,Izamal,Ex convento de San Antonio de Padua
b7a6c308-f72f-46f4-ae3d-23ae491f0a79,Calotmul,Parroquia (ex convento) de La Concepción
0f1c7575-2064-4d4c-9f94-ddd348321404,Halachó,Parroquia (ex convento) Santiago Apostol
11c49561-8fd5-4148-94fe-76846547b778,Maní,Parroquia (ex convento) de San Miguel Arcángel
c72a9c31-2d1d-4b7d-a18e-7a7a8be5b1f3,Chikindzonot,San Bernardino de Siena (ex convento)
b34caafe-7c02-41c1-9c46-be764af38df9,Hunucmá,San Francisco de Asís
c12f14c6-78d4-4580-80f0-dfb7d0291969,Conkal,Parroquia (ex convento) de San Francisco de Asís
53e95199-49b4-4dfa-9157-5d579ab0a0c0,Maxcanú,San Miguel Arcángel
1007ee44-a867-4b88-a6df-0cf024e55fb0,Kantunil,La Candelaria
38cc7126-514d-446b-be1a-1bdd0fead30f,Izamal,San Nicolás Obispo
deb0276f-d4aa-4603-a393-26368dc787a0,Mérida,San Juan de Dios
0e32012d-de4d-4134-8c46-e77f87410cdb,Hocabá,Parroquia (ex convento) de San Francisco de Asís
f8aebecb-a34e-4f39-b39b-9c8f07475ac0,Mérida,San Pedro
163bbff3-ce6b-4b72-9e3c-74ff129d5ae5,Mama,Nuestra Señora de la Asunción
2eecc93b-e00f-4efd-8156-762eee7ef82e,Mérida,Nuestra Señora del Transito de la Mejorada
061d2ebc-e0e9-4880-ac29-2c8f9d1365f3,Mérida,La Purísima Concepción
ff853fb4-520f-49a6-862d-712c393170ef,Maní,La Magdalena
e82321a6-8b1f-4ea7-972a-54bb24a0e5bb,Mérida,Cristo de las Ampollas
af063c80-5cde-4caf-a73d-896a2c254e6e,Mérida,Nuestra Señora de Belén
538af4da-3320-417c-ac1e-958c34e668bc,Mérida,Sagrario Metropolitano
906ffc4f-6226-470a-b2e8-ccb43d0d281f,Mérida,Iglesia del Jesús (Tercera orden)
96b9530b-7d82-4914-82ca-8564fcda0005,Mérida,Santa Ana
c78079ba-53e9-4d8c-b644-184c9ec553a1,Mérida,Nuestra Señora de la Concepción
b78a406a-e3f3-4958-ab27-3f49b7cd29b2,Mérida,Catedral de San Ildefonso
3ad17ef7-3cb4-4171-9fec-232f3f4141d2,Mérida,Santa Lucía
8adbe2c3-6bf4-48f5-8041-4c17b18fc282,Mérida,Las Monjas (Templo de Nuestra Señora de la Consolación)
ec91046e-fd59-42e2-8618-6db143e8761a,Mérida,La Candelaria
098354dd-dd81-479b-9a9d-f89cbefdbc47,Mérida,Santiago
bfe05dd3-2d4c-41c9-8443-9fd0a558948c,Mérida,San Juan Bautista
