id,arq.Municipio,arq.Nombre
bda76017-f3c2-4626-89ab-147c37d0e716,Acanceh,Nuestra Señora de la Natividad
b201547b-fb7d-43fb-bc32-389e208e05f6,Calotmul,Parroquia (ex convento) de La Concepción
d12efd39-8b69-4f38-aa03-95a32610b6c9,Cansahcab,Parroquia (ex convento) de San Francisco
f5050163-a254-4a8c-a036-546ccdee1c0c, Chikindzonot,Nuestra Señora de la Candelaria
739db2c2-7cd4-4499-a871-f3434f6c655a,Chikindzonot,San Bernardino de Siena (ex convento)
0a27b08f-dc1e-43d0-b552-bbdd01339bfd,Chocholá,Parroquia (ex convento) de la Purísima Concepción
a6adc3e0-fc01-4bea-8e47-6013a50db66c,Chumayel,La Purísima Concepción
dfd9d60e-60d7-4f8f-b4e3-30634bcb65e3,Conkal,Parroquia (ex convento) de San Francisco de Asís
2aa84295-6f1c-47f9-8a0c-aab59a1147f3,Dzidzantún,Parroquia (ex convento) de Santa Clara
c12d5a56-065d-496d-a933-b0d88a3846dc,Halachó,Parroquia (ex convento) Santiago Apostol
bf1855ca-946f-49af-8828-dc92879bd221,Hocabá,Parroquia (ex convento) de San Francisco de Asís
bbd34fb5-1e28-45ff-b37e-5c4600fd1704,Homún,Parroquia (ex convento) San Buenaventura
32428df4-7c26-43f6-bef2-f3c98b47beef,Hunucmá,San Francisco de Asís
ebd3ea54-f6be-4154-afc8-86a5dc400287,Izamal,Nuestra Señora de la Candelaria
716f39ad-ab61-4bcb-858f-72c169fcfe8e,Izamal,Ex convento de San Antonio de Padua
c3152386-0255-4df6-9bce-49640adbb07d,Izamal,Los Remedios
731d65d4-91f8-4795-a12d-2cd7190a9b73,Izamal,San Nicolás Obispo
111e1265-84fd-4463-b5de-36a769e925b6,Kanasin,La Inmaculada Concepción
a8f101a3-9d82-49db-8229-54935c7f1c8a,Kantunil,La Candelaria
3fe42a94-883f-4718-af62-30415acf9a90,Kopomá,Iglesia de la Virgen de la Asunción
a6eff974-c3dc-4a42-9bf7-f335982c001f,Mama,Nuestra Señora de la Asunción
777b58d9-9424-489a-8f68-f6451a4eabac,Maní,Parroquia (ex convento) de San Miguel Arcángel
58dff613-d56c-4c20-b694-f4e7218e7425,Maní,La Magdalena
